"spkid","full_name","neo","pha","H","diameter","albedo","spec_B","spec_T","orbit_id","epoch","e","a","q","i","om","w","ma","n","per","moid","class","data_arc","first_obs","last_obs","n_obs_used","condition_code","ad","per_y","n_del_obs_used","n_dop_obs_used","epoch_mjd","extent","rot_per","GM","BV","UB","IR","tp_cal","two_body","A1","A2","A3","DT","tp","M1","K1","M2","K2","PC"
3836084,"       (2018 VG3)",Y,Y,20.89,,,,,25,2461000.5,0.6507,1.508,0.527,6.01,355.85,283.70,340.73,0.5321,677,0.00435,APO,1196,2018-11-05,2022-02-13,117,2,2.49,1.85,,,61000,,,,,,,2025-12-27.2,,,,,,2461036.72,,,,,
3836308,"       (2018 WR1)",Y,Y,20.30,,,,,35,2461000.5,0.6462,2.252,0.797,15.17,274.58,244.85,0.21,0.2916,1.23e+03,0.0228,APO,185,2018-11-27,2019-05-31,183,3,3.71,3.38,,,61000,,68.6,,,,,2025-11-20.2,,,,,,2460999.80,,,,,
3836663,"       (2018 WP2)",Y,Y,21.80,,,,,18,2461000.5,0.5221,1.943,0.929,7.90,55.06,309.58,223.89,0.3638,990,0.0307,APO,39,2018-11-29,2019-01-07,85,6,2.96,2.71,,,61000,,,,,,,2026-11-30.1,,,,,,2461374.66,,,,,
3836731,"       (2018 WE3)",Y,Y,20.95,,,,,7,2461000.5,0.6606,2.728,0.926,8.71,240.66,159.48,207.37,0.2187,1.65e+03,0.0244,APO,215,2018-07-08,2019-02-08,56,4,4.53,4.51,,,61000,,,,,,,2027-10-19.9,,,,,,2461698.43,,,,,
3836920,"       (2018 XG5)",Y,Y,20.29,,,,,76,2461000.5,0.6237,2.433,0.916,12.92,215.48,320.63,269.72,0.2597,1.39e+03,0.00304,APO,1621,2018-12-13,2023-05-22,465,0,3.95,3.8,2,0,61000,,2.6594,,,,,2026-11-03.6,,,,,,2461348.13,,,,,
3836942,"       (2018 YH)",Y,Y,21.70,,,,,16,2461000.5,0.2639,1.119,0.824,11.92,320.48,245.74,228.32,0.8323,433,0.0319,APO,2240,2013-09-03,2019-10-22,71,0,1.41,1.18,,,61000,,,,,,,2026-04-28.2,,,,,,2461158.71,,,,,
3837522,"       (2018 YJ2)",Y,Y,21.72,,,,,25,2461000.5,0.4040,1.161,0.692,6.51,65.06,293.40,236.82,0.7877,457,0.0329,APO,3937,2013-04-06,2024-01-16,185,0,1.63,1.25,,,61000,,,,,,,2026-04-26.3,,,,,,2461156.87,,,,,
3837596,"       (2019 AV2)",Y,Y,21.33,,,,,29,2461000.5,0.6470,2.459,0.868,9.01,119.69,54.40,266.80,0.2557,1.41e+03,0.0209,APO,1649,2014-12-18,2019-06-24,192,0,4.05,3.86,1,2,61000,,,,,,,2026-11-20.5,,,,,,2461365.05,,,,,
3837599,"       (2019 AZ2)",Y,Y,21.60,,,,,"JPL 9",2458490.5,0.8833,2.458,0.287,7.33,83.76,255.25,12.41,0.2557,1.41e+03,0.0343,APO,12,2019-01-03,2019-01-15,95,8,4.63,3.85,,,58490,,,,,,,2018-11-19.4,,,,,,2458441.97,,,,,
3837652,"       (2019 AW4)",Y,Y,21.27,,,,,23,2461000.5,0.6176,2.251,0.861,14.37,153.34,56.93,349.76,0.2919,1.23e+03,0.0274,APO,198,2018-12-15,2019-07-01,115,4,3.64,3.38,,,61000,,2.2236,,,,,2025-12-26.0,,,,,,2461035.60,,,,,
3837719,"       (2019 AP6)",Y,Y,21.20,,,,,22,2461000.5,0.4112,0.7396,0.435,7.07,327.28,325.05,82.70,1.55,232,0.0221,ATE,755,2019-01-07,2021-01-31,116,2,1.04,0.636,,,61000,,,,,,,2025-09-28.6,,,,,,2460947.13,,,,,
3837741,"       (2019 AN7)",Y,Y,21.75,,,,,"JPL 7",2458492.5,0.8483,1.192,0.181,23.77,295.47,325.58,325.72,0.7577,475,0.0299,APO,10,2019-01-03,2019-01-13,40,9,2.20,1.3,,,58492,,,,,,,2019-02-23.2,,,,,,2458537.74,,,,,
3837902,"       (2019 AG13)",Y,Y,21.90,,,,,8,2461000.5,0.6041,2.061,0.816,11.15,264.99,300.42,90.02,0.333,1.08e+03,0.00648,APO,3292,2010-06-29,2019-07-04,54,0,3.31,2.96,,,61000,,,,,,,2025-02-23.6,,,,,,2460730.18,,,,,
3837926,"       (2019 BK)",Y,Y,21.04,,,,,23,2461000.5,0.7281,2.054,0.559,4.13,264.46,121.16,132.80,0.3347,1.08e+03,0.0333,APO,2203,2016-01-29,2022-02-09,157,0,3.55,2.94,,,61000,,2.86,,,,,2024-10-20.2,,,,,,2460603.76,,,,,
3837956,"       (2019 BC1)",Y,Y,20.25,,,,,28,2461000.5,0.6345,2.531,0.925,17.76,118.15,328.79,260.49,0.2448,1.47e+03,0.00344,APO,4589,2010-09-16,2023-04-10,161,0,4.14,4.03,,,61000,,,,,,,2027-01-01.4,,,,,,2461407.00,,,,,
3837975,"       (2019 BP1)",Y,Y,19.80,,,,,16,2461000.5,0.6300,2.55,0.943,23.71,34.31,18.07,260.86,0.2421,1.49e+03,0.0311,APO,2940,2015-02-11,2023-03-01,79,0,4.16,4.07,,,61000,,,,,,,2027-01-04.5,,,,,,2461410.00,,,,,
3837989,"       (2019 BG2)",Y,Y,21.90,,,,,13,2461000.5,0.2759,1.265,0.916,14.22,328.97,65.58,346.69,0.693,519,0.0276,APO,927,2019-01-24,2021-08-08,113,1,1.61,1.42,,,61000,,,,,,,2025-12-10.2,,,,,,2461019.71,,,,,
3838020,"       (2019 BT2)",Y,Y,20.50,,,,,20,2461000.5,0.4923,1.082,0.549,19.94,306.74,65.74,93.43,0.8754,411,0.0221,APO,3691,2010-01-28,2020-03-07,81,1,1.62,1.13,,,61000,,,,,,,2025-08-06.2,,,,,,2460893.77,,,,,
3838082,"       (2019 BF5)",Y,Y,21.50,,,,,14,2461000.5,0.7393,1.68,0.438,24.52,312.20,68.79,66.90,0.4527,795,0.0217,APO,800,2019-01-28,2021-04-07,164,0,2.92,2.18,,,61000,,7.709,,,,,2025-06-26.2,,,,,,2460852.72,,,,,
3838104,"       (2019 CH1)",Y,Y,21.22,,,,,16,2461000.5,0.7143,1.337,0.382,10.86,296.44,73.65,202.48,0.6375,565,0.0366,APO,2216,2016-01-16,2022-02-09,77,1,2.29,1.55,,,61000,,,,,,,2026-07-26.0,,,,,,2461247.58,,,,,
3838130,"       (2019 CT1)",Y,Y,21.96,,,,,26,2461000.5,0.3545,1.561,1.008,19.25,325.05,152.47,182.01,0.5053,712,0.0476,APO,691,2019-02-04,2020-12-26,204,0,2.11,1.95,0,1,61000,,,,,,,2026-11-08.2,,,,,,2461352.74,,,,,
3838129,"       (2019 CU1)",Y,Y,21.36,,,,,20,2461000.5,0.5172,1.78,0.860,1.76,344.46,100.71,326.71,0.4149,868,0.0141,APO,4336,2011-09-30,2023-08-14,104,0,2.70,2.38,,,61000,,,,,,,2026-02-09.2,,,,,,2461080.74,,,,,
3838139,"       (2019 CD2)",Y,Y,20.02,,,,,43,2461000.5,0.7479,2.452,0.618,6.74,304.79,113.55,288.93,0.2567,1.4e+03,0.032,APO,1302,2019-02-04,2022-08-29,233,0,4.29,3.84,,,61000,,,,,,,2026-08-24.8,,,,,,2461277.35,,,,,
3838240,"       (2019 CE4)",Y,Y,17.77,,,,,90,2461000.5,0.6601,2.851,0.969,20.68,38.60,347.11,157.37,0.2047,1.76e+03,0.0131,APO,2054,2018-07-15,2024-02-28,375,0,4.73,4.81,,,61000,,,,,,,2023-10-14.3,,,,,,2460231.89,,,,,
3838259,"       (2019 CC5)",Y,Y,21.97,,,,,28,2461000.5,0.6051,1.843,0.728,7.49,131.21,295.57,275.24,0.3939,914,0.0171,APO,3669,2014-02-25,2024-03-13,137,0,2.96,2.5,,,61000,,,,,,,2026-06-24.1,,,,,,2461215.68,,,,,
3838912,"       (2019 DD2)",Y,Y,21.16,,,,,4,2461000.5,0.5120,2.044,0.997,36.57,178.94,30.23,100.98,0.3374,1.07e+03,0.0463,APO,3299,2010-02-23,2019-03-07,31,2,3.09,2.92,,,61000,,,,,,,2025-01-25.6,,,,,,2460701.18,,,,,
3838886,"       (2019 EN)",Y,Y,21.24,,,,,18,2461000.5,0.6211,2.176,0.825,9.73,192.35,47.46,12.77,0.307,1.17e+03,0.0254,APO,260,2019-01-10,2019-09-27,302,3,3.53,3.21,1,1,61000,,6.9446,,,,,2025-10-10.4,,,,,,2460958.91,,,,,
3840119,"       (2019 EU2)",Y,Y,21.01,,,,,13,2461000.5,0.6674,2.431,0.809,15.59,198.90,246.51,295.64,0.26,1.38e+03,0.0336,APO,256,2018-08-12,2019-04-25,74,4,4.05,3.79,,,61000,,,,,,,2026-07-26.5,,,,,,2461248.05,,,,,
3840128,"       (2019 FH)",Y,Y,20.19,,,,,31,2461000.5,0.7742,1.528,0.345,3.86,255.16,152.35,220.41,0.5219,690,0.0355,APO,1941,2019-03-14,2024-07-06,198,0,2.71,1.89,,,61000,,,,,,,2026-08-15.4,,,,,,2461267.95,,,,,
3840136,"       (2019 FJ)",Y,Y,19.10,,,,,24,2461000.5,0.6128,0.7623,0.295,44.44,156.89,150.21,240.21,1.481,243,0.0186,ATE,2184,2019-03-18,2025-03-10,106,1,1.23,0.666,,,61000,,,,,,,2026-02-09.8,,,,,,2461081.39,,,,,
3840701,"       (2019 FZ)",Y,Y,21.36,,,,,17,2461000.5,0.6287,0.8774,0.326,27.66,192.44,139.94,311.07,1.199,300,0.0109,ATE,1424,2019-03-27,2023-02-18,180,2,1.43,0.822,,,61000,,,,,,,2025-12-31.8,,,,,,2461041.30,,,,,
3840745,"       (2019 FM2)",Y,Y,20.61,,,,,13,2461000.5,0.2690,0.9739,0.712,27.99,358.84,75.37,49.88,1.025,351,0.0241,ATE,658,2019-03-30,2021-01-16,78,2,1.24,0.961,,,61000,,,,,,,2025-10-03.3,,,,,,2460951.86,,,,,
3840802,"       (2019 GD1)",Y,Y,20.17,,,,,19,2461000.5,0.8007,2.614,0.521,3.56,197.53,237.28,230.65,0.2332,1.54e+03,0.0296,APO,81,2019-02-16,2019-05-08,77,5,4.71,4.23,,,61000,,,,,,,2027-05-29.6,,,,,,2461555.15,,,,,
3840850,"       (2019 GT3)",Y,Y,20.99,,,,,65,2461000.5,0.6218,2.368,0.895,2.34,224.96,69.93,261.60,0.2705,1.33e+03,0.0165,APO,4038,2008-10-07,2019-10-28,488,0,3.84,3.64,1,0,61000,,0.35338,,,,,2026-11-19.7,,,,,,2461364.22,,,,,
3841531,"       (2019 HN)",Y,Y,20.64,,,,,22,2461000.5,0.6357,1.864,0.679,34.73,207.31,81.78,186.69,0.3873,929,0.00872,APO,2027,2019-04-23,2024-11-09,80,0,3.05,2.54,,,61000,,,,,,,2027-02-11.4,,,,,,2461447.95,,,,,
3841670,"       (2019 HH4)",Y,Y,19.81,,,,,"JPL 47",2461000.5,0.3871,1.532,0.939,33.86,211.46,150.70,46.96,0.52,692,0.0204,APO,7799,2004-05-14,2025-09-20,159,0,2.12,1.9,5,3,61000,,,,,,,2025-08-22.6,,,,,,2460910.20,,,,,
3841701,"       (2019 JB1)",Y,Y,20.93,,,,,18,2461000.5,0.7752,2.004,0.451,19.91,54.14,288.79,89.11,0.3473,1.04e+03,0.0173,APO,39,2019-04-06,2019-05-15,169,6,3.56,2.84,,,61000,,8.3,,,,,2025-03-09.4,,,,,,2460743.94,,,,,
3842641,"       (2019 KB4)",Y,Y,19.89,,,,,33,2461000.5,0.4520,1.89,1.036,17.53,134.74,192.09,156.32,0.3793,949,0.0272,AMO,4806,2011-04-03,2024-05-30,158,0,2.74,2.6,,,61000,,,,,,,2024-10-04.8,,,,,,2460588.37,,,,,
3842747,"       (2019 KQ5)",Y,Y,21.70,,,,,6,2461000.5,0.6012,1.689,0.673,4.91,246.42,238.71,28.32,0.4492,801,0.0326,APO,986,2016-10-10,2019-06-23,20,2,2.70,2.19,,,61000,,,,,,,2025-09-18.9,,,,,,2460937.45,,,,,
54050955,"       (2019 KD7)",Y,N,21.70,,,,,"JPL 2",2458632.5,0.4616,0.9452,0.509,9.12,282.74,112.73,217.19,1.073,336,0.0341,ATE,7,2019-05-26,2019-06-02,10,8,1.38,0.919,,,58632,,,,,,,2019-10-09.1,,,,,,2458765.64,,,,,
3842757,"       (2019 LG1)",Y,Y,20.85,,,,,8,2461000.5,0.3593,1.126,0.722,18.00,248.77,103.37,62.77,0.8246,437,0.0333,APO,4310,2013-06-30,2025-04-18,40,1,1.53,1.2,,,61000,,,,,,,2025-09-05.8,,,,,,2460924.38,,,,,
3842777,"       (2019 LZ1)",Y,Y,19.84,,,,,7,2461000.5,0.9258,2.232,0.166,9.49,220.74,223.25,351.98,0.2955,1.22e+03,0.00248,APO,1134,2019-05-31,2022-07-08,38,2,4.30,3.34,,,61000,,,,,,,2025-12-18.1,,,,,,2461027.65,,,,,
3842870,"       (2019 LX4)",Y,Y,21.76,,,,,35,2461000.5,0.3076,1.462,1.012,2.94,269.97,68.70,182.03,0.5576,646,0.0409,APO,1748,2015-01-17,2019-10-31,183,0,1.91,1.77,,,61000,,,,,,,2026-10-06.1,,,,,,2461319.66,,,,,
3842883,"       (2019 LH5)",Y,Y,20.45,,,,,38,2461000.5,0.7057,1.604,0.472,3.01,120.68,269.30,36.87,0.4853,742,0.0129,APO,2218,2019-06-06,2025-07-02,280,0,2.74,2.03,4,2,61000,,,,,,,2025-09-06.0,,,,,,2460924.53,,,,,
3842901,"       (2019 LG6)",Y,Y,21.80,,,,,"JPL 2",2458645.5,0.7373,2.278,0.599,16.90,95.85,260.59,345.42,0.2866,1.26e+03,0.0359,APO,5,2019-06-10,2019-06-15,55,9,3.96,3.44,,,58645,,,,,,,2019-07-31.8,,,,,,2458696.38,,,,,
3842939,"       (2019 MF1)",Y,Y,21.75,,,,,26,2461000.5,0.3188,1.536,1.047,9.76,285.26,5.35,124.35,0.5175,696,0.0293,AMO,1669,2015-02-22,2019-09-18,122,1,2.03,1.9,0,1,61000,,,,,,,2025-03-25.7,,,,,,2460760.23,,,,,
3843090,"       (2019 MS3)",Y,Y,20.41,,,,,22,2461000.5,0.7200,2.63,0.736,8.61,138.98,231.56,153.37,0.2311,1.56e+03,0.0464,APO,251,2019-05-27,2020-02-02,100,4,4.52,4.26,,,61000,,,,,,,2024-01-27.4,,,,,,2460336.92,,,,,
3843061,"       (2019 NA)",Y,Y,21.86,,,,,10,2461000.5,0.5687,1.98,0.854,7.77,207.21,141.33,85.87,0.3538,1.02e+03,0.0287,APO,149,2019-06-07,2019-11-03,54,5,3.11,2.79,,,61000,,,,,,,2025-03-23.2,,,,,,2460757.79,,,,,
3843128,"       (2019 NA2)",Y,Y,20.83,,,,,4,2461000.5,0.6364,1.821,0.662,33.87,78.83,284.89,183.37,0.4011,898,0.0388,APO,1826,2019-05-29,2024-05-28,34,0,2.98,2.46,,,61000,,,,,,,2027-02-04.3,,,,,,2461440.87,,,,,
3843131,"       (2019 NE2)",Y,Y,21.09,,,,,13,2461000.5,0.7288,1.73,0.469,8.48,267.88,124.20,265.52,0.4332,831,0.0459,APO,987,2019-05-31,2022-02-11,211,1,2.99,2.28,1,1,61000,,,,,,,2026-06-27.1,,,,,,2461218.61,,,,,
3843155,"       (2019 NY2)",Y,Y,21.20,,,,,9,2461000.5,0.4415,1.749,0.977,11.35,139.77,199.64,240.46,0.4261,845,0.0177,APO,253,2019-05-09,2020-01-17,45,4,2.52,2.31,,,61000,,,,,,,2026-08-28.5,,,,,,2461281.04,,,,,
3843319,"       (2019 ND7)",Y,Y,21.45,,,,,8,2461000.5,0.5750,1.148,0.488,34.48,297.37,114.76,14.64,0.8016,449,0.00353,APO,241,2019-07-07,2020-03-04,38,3,1.81,1.23,,,61000,,,,,,,2025-11-02.7,,,,,,2460982.24,,,,,
